Year,Island,Age,Length_cm,Weight_kg
1987,Little,NA,62.5,4.762716
1987,Little,NA,71,6.690482
1987,Little,NA,71,6.123492
1987,Little,NA,59,4.082328
1987,Little,NA,56,2.83495
1987,Little,NA,56,3.061746
1987,Little,NA,56.5,3.061746
1987,Little,NA,55,2.948348
1987,Little,NA,59,3.628736
1987,Little,NA,71,7.257472
1987,Little,NA,57.5,3.175144
1987,Little,NA,65,4.989512
1987,Little,NA,57,3.175144
1987,Little,NA,57.5,3.288542
1987,Little,NA,63,4.53592
1987,Little,NA,60.5,3.855532
1987,Little,NA,64,4.195726
1987,Little,NA,63,4.989512
1987,Little,NA,63,4.53592
1987,Little,NA,56,2.721552
1987,Little,NA,61,4.422522
1987,Little,NA,49,1.927766
1987,Little,NA,58,3.628736
1987,Little,NA,52.5,2.381358
1987,Little,NA,55,3.061746
1987,Little,NA,53,2.494756
1987,Little,NA,51,2.154562
1987,Little,NA,52,2.494756
1987,Little,NA,57,3.40194
1987,Little,NA,55,2.948348
1987,Little,NA,50,2.154562
1987,Little,NA,48.5,1.927766
1987,Little,NA,53.5,2.381358
1987,Little,NA,54,2.721552
1987,Little,NA,58,3.628736
1987,Little,NA,55.5,2.83495
1987,Little,NA,59,3.515338
1987,Little,NA,52,2.721552
1987,Little,NA,65,4.876114
1987,Little,NA,56,3.288542
1987,Little,NA,56,3.515338
1987,Little,NA,56.5,3.40194
1987,Little,NA,57,3.40194
1987,Little,NA,57,2.721552
1987,Little,NA,53,2.494756
1987,Little,NA,54,2.721552
1987,Little,NA,61,3.628736
1987,Little,NA,63.5,4.195726
1987,Little,NA,60,3.855532
1987,Little,NA,52.5,2.26796
1987,Little,NA,52,2.154562
1987,Little,NA,61,3.96893
1987,Little,NA,55,2.83495
1987,Little,NA,61,3.628736
1987,Little,NA,65,4.762716
1987,Little,NA,58,2.948348
1987,Little,NA,60,3.96893
1987,Little,NA,67,6.010094
1987,Little,NA,60.5,4.53592
1987,Little,NA,63.5,4.53592
1987,Little,NA,60,3.96893
1987,Little,NA,68,5.6699
1987,Little,NA,62,4.082328
1987,Little,NA,65,4.989512
1987,Little,NA,57,3.40194
1987,Little,NA,61,4.422522
1987,Little,NA,65,4.989512
1987,Little,NA,58,3.175144
1987,Little,NA,65,5.443104
1987,Little,NA,57,3.061746
1987,Little,NA,54,2.608154
1987,Little,NA,66,5.443104
1987,Little,NA,61,4.309124
1987,Little,NA,62,4.195726
1987,Little,NA,49,2.041164
1987,Little,NA,63,4.309124
1987,Little,NA,60,3.742134
1987,Little,NA,61.5,3.855532
1987,Little,NA,63,4.422522
1987,Little,NA,53,2.381358
1987,Little,NA,64.5,4.762716
1987,Little,NA,56,2.948348
1987,Little,NA,60,3.628736
1987,Little,NA,57.5,3.175144
1987,Little,NA,63,4.762716
1987,Little,NA,65,4.53592
1987,Little,NA,67,5.329706
1987,Little,NA,63,5.10291
1987,Little,NA,55,3.175144
1987,Little,NA,59,3.855532
1987,Little,NA,48,1.814368
1987,Little,NA,59,3.515338
1987,Little,NA,52,NA
1987,Little,NA,52,NA
1987,Little,NA,48,NA
1987,Little,NA,49,NA
1987,Little,NA,55,NA
1987,Little,NA,37,NA
1987,Little,NA,62,4.989512
1987,Little,NA,57,2.948348
1987,Little,NA,54.5,NA
1987,Little,NA,52,NA
1987,Little,NA,54,NA
1987,Little,NA,62,NA
1987,Little,NA,60,NA
1987,Little,NA,66.5,NA
1987,Little,NA,59,NA
1987,Little,NA,61,NA
1987,Little,NA,57,NA
1987,Little,NA,55,NA
1987,Little,NA,51.5,NA
1987,Little,NA,60,NA
1987,Little,NA,63,NA
1987,Little,NA,56,NA
1987,Little,NA,57,NA
1987,Little,NA,61,NA
1988,Little,9,72,NA
1988,Little,NA,52,NA
1988,Little,13,66,NA
1988,Little,9,62.5,NA
1988,Little,11,65,NA
1988,Little,15,56.5,3.18
1988,Little,9,53,2.5
1988,Little,10,62,NA
1988,Little,9,56.5,2.84
1988,Little,8,55,NA
1988,Little,6,44,NA
1988,Little,8,62,NA
1988,Little,7,61.5,NA
1988,Little,NA,59,3.86
1988,Little,7,34.5,0.79
1988,Little,12,65,NA
1988,Little,7,50,2.27
1988,Little,8,53,2.38
1988,Little,8,60,NA
1988,Little,7,55,NA
1988,Little,10,63.5,4.77
1988,Little,11,54,2.61
1988,Little,10,63,5.11
1988,Little,8,59,NA
1988,Little,9,67,5.22
1988,Little,16,66,4.54
1988,Little,9,54,2.61
1988,Little,10,68,NA
1988,Little,8,54.5,2.95
1988,Little,7,54,NA
1988,Little,6,44,NA
1988,Little,7,52,NA
1988,Little,14,72,NA
1988,Little,8,59,3.75
1988,Little,11,65,4.65
1988,Little,8,52,2.95
1988,Little,8,55,3.18
1988,Little,9,64,4.77
1988,Little,9,65,4.31
1988,Little,6,62,NA
1988,Little,7,64,NA
1988,Little,9,59,NA
