year,median,q0.025,q0.975
2005,2270.28166249635,1934.34439253834,2687.3053668716
2006,2733.85988497978,2328.68094373556,3236.94250005633
2008,1528.71307028694,1289.48941447814,1828.54517084316
2009,1239.36859380184,1050.83781667119,1468.99503575936
2010,1844.66983089318,1573.4869723472,2186.03786785164
2011,2087.87181156505,1685.80091553231,2616.09919073566
2012,2564.80854628037,2191.15510490744,3027.1698005022
2013,3314.77250287729,2829.88993368155,3932.36194030634
2014,3507.76881276054,2997.18769279165,4129.0157655677
2015,4213.25522503936,3615.07577715174,4969.77955180188
2016,4128.12032641293,3420.04928111966,5072.76189111649
2017,5388.42978015616,4611.09104375244,6357.57133087881
2018,7079.34158818084,6065.69867734184,8336.51534607148
