filename,year,date,length,usable,major_spawn,location,recorder,time,caliper
sequence 03.00.19.22,2004,NA,638.373,y,no,NA,NA,NA,NA
sequence 04.00.24.08,2004,NA,633.704,y,no,NA,NA,NA,NA
sequence 05.00.31.09,2004,NA,733.588,y,no,NA,NA,NA,NA
sequence 06.00.42.05,2004,NA,669.347,y,no,NA,NA,NA,NA
sequence 07.00.44.16,2004,NA,474.405,y,no,NA,NA,NA,NA
sequence 10.00.54.20,2004,NA,558.765,y,no,NA,NA,NA,NA
sequence 100.13.08.22,2004,NA,593.162,y,no,NA,NA,NA,NA
sequence 103.13.42.15,2004,NA,557.177,y,no,NA,NA,NA,NA
sequence 104.13.58.11,2004,NA,582.734,y,no,NA,NA,NA,NA
sequence 107.14.04.27,2004,NA,489.452,y,no,NA,NA,NA,NA
sequence 108.14.09.14,2004,NA,535.521,y,no,NA,NA,NA,NA
sequence 109.14.10.22,2004,NA,724.362,y,no,NA,NA,NA,NA
sequence 11.01.01.12,2004,NA,596.263,y,no,NA,NA,NA,NA
sequence 112.14.26.20,2004,NA,545.251,y,no,NA,NA,NA,NA
sequence 113.14.29.14,2004,NA,553.617,y,no,NA,NA,NA,NA
sequence 115.14.36.27,2004,NA,629.991,y,no,NA,NA,NA,NA
sequence 117.15.00.22,2004,NA,570.486,y,no,NA,NA,NA,NA
sequence 126.17.37.14,2004,NA,559.662,y,no,NA,NA,NA,NA
sequence 127.17.46.08,2004,NA,464.869,y,no,NA,NA,NA,NA
sequence 133.18.43.01,2004,NA,780.469,y,no,NA,NA,NA,NA
sequence 134.18.45.23,2004,NA,409.406,y,no,NA,NA,NA,NA
sequence 135.18.50.28,2004,NA,628.147,y,no,NA,NA,NA,NA
sequence 138.19.01.15,2004,NA,604.999,y,no,NA,NA,NA,NA
sequence 139.19.05.01,2004,NA,648.342,y,no,NA,NA,NA,NA
sequence 14.01.23.03,2004,NA,641.889,y,no,NA,NA,NA,NA
sequence 141.19.19.00,2004,NA,613.511,y,no,NA,NA,NA,NA
sequence 142.19.25.18,2004,NA,529.204,y,no,NA,NA,NA,NA
sequence 143.19.28.23,2004,NA,581.266,y,no,NA,NA,NA,NA
sequence 145.19.33.01,2004,NA,608.328,y,no,NA,NA,NA,NA
sequence 146.19.36.09,2004,NA,641.687,y,no,NA,NA,NA,NA
sequence 147.19.38.03,2004,NA,554.747,y,no,NA,NA,NA,NA
sequence 148.19.39.27,2004,NA,636.338,y,no,NA,NA,NA,NA
sequence 149.20.01.22,2004,NA,664.818,y,no,NA,NA,NA,NA
sequence 150.20.08.23,2004,NA,559.604,y,no,NA,NA,NA,NA
sequence 151.20.10.13,2004,NA,541.134,y,no,NA,NA,NA,NA
sequence 152.20.15.24,2004,NA,571.438,y,no,NA,NA,NA,NA
sequence 154.20.20.16,2004,NA,573.3,y,no,NA,NA,NA,NA
sequence 155.20.22.06,2004,NA,558.782,y,no,NA,NA,NA,NA
sequence 156.20.24.17,2004,NA,466.873,y,no,NA,NA,NA,NA
sequence 157.20.34.15,2004,NA,710.399,y,no,NA,NA,NA,NA
sequence 159.20.45.28,2004,NA,538.981,y,no,NA,NA,NA,NA
sequence 16.01.35.27,2004,NA,656.276,y,no,NA,NA,NA,NA
sequence 160.21.06.00,2004,NA,628.255,y,no,NA,NA,NA,NA
sequence 163.21.44.27,2004,NA,611.95,y,no,NA,NA,NA,NA
sequence 164.21.48.12,2004,NA,720.149,y,no,NA,NA,NA,NA
sequence 165.21.54.06,2004,NA,725.744,y,no,NA,NA,NA,NA
sequence 167.22.05.09,2004,NA,579.053,y,no,NA,NA,NA,NA
sequence 168.22.16.10,2004,NA,557.635,y,no,NA,NA,NA,NA
sequence 169.22.18.13,2004,NA,573.159,y,no,NA,NA,NA,NA
sequence 170.22.22.16,2004,NA,646.12,y,no,NA,NA,NA,NA
sequence 171.22.25.01,2004,NA,507.63,y,no,NA,NA,NA,NA
sequence 172.22.32.16,2004,NA,474.303,y,no,NA,NA,NA,NA
sequence 173.22.39.26,2004,NA,587.716,y,no,NA,NA,NA,NA
sequence 174.22.46.28,2004,NA,756.346,y,no,NA,NA,NA,NA
sequence 175.22.52.15,2004,NA,541.359,y,no,NA,NA,NA,NA
sequence 176.22.55.14,2004,NA,678.813,y,no,NA,NA,NA,NA
sequence 177.23.07.12,2004,NA,707.486,y,no,NA,NA,NA,NA
sequence 178.23.09.28,2004,NA,563.569,y,no,NA,NA,NA,NA
sequence 179.23.49.24,2004,NA,646.135,y,no,NA,NA,NA,NA
sequence 18.01.43.16,2004,NA,533.528,y,no,NA,NA,NA,NA
sequence 180.23.57.02,2004,NA,691.071,y,no,NA,NA,NA,NA
sequence 182.24.09.14,2004,NA,614.061,y,no,NA,NA,NA,NA
sequence 185.24.50.28,2004,NA,724.808,y,no,NA,NA,NA,NA
sequence 186.24.57.01,2004,NA,594.673,y,no,NA,NA,NA,NA
sequence 19.01.45.23,2004,NA,558.398,y,no,NA,NA,NA,NA
sequence 193.25.40.15,2004,NA,620.813,y,no,NA,NA,NA,NA
sequence 199.26.20.06,2004,NA,795.078,y,no,NA,NA,NA,NA
sequence 20.01.50.25,2004,NA,609.344,y,no,NA,NA,NA,NA
sequence 200.26.25.16,2004,NA,643.412,y,no,NA,NA,NA,NA
sequence 202.27.49.29,2004,NA,535.709,y,no,NA,NA,NA,NA
sequence 205.28.45.17,2004,NA,704.841,y,no,NA,NA,NA,NA
sequence 209.29.27.13,2004,NA,564.746,y,no,NA,NA,NA,NA
sequence 21.01.52.17,2004,NA,512.814,y,no,NA,NA,NA,NA
sequence 211.29.36.29,2004,NA,583.886,y,no,NA,NA,NA,NA
sequence 212.29.53.02,2004,NA,713.283,y,no,NA,NA,NA,NA
sequence 214.30.10.03,2004,NA,670.289,y,no,NA,NA,NA,NA
sequence 215.30.37.00,2004,NA,702.932,y,no,NA,NA,NA,NA
sequence 226.33.43.25,2004,NA,641.963,y,no,NA,NA,NA,NA
sequence 239.34.49.09,2004,NA,615.603,y,no,NA,NA,NA,NA
sequence 24.02.06.27,2004,NA,566.486,y,no,NA,NA,NA,NA
sequence 245.37.46.12,2004,NA,582.121,y,no,NA,NA,NA,NA
sequence 247.37.50.12,2004,NA,557.638,y,no,NA,NA,NA,NA
sequence 254.38.19.13,2004,NA,678.893,y,no,NA,NA,NA,NA
sequence 265.38.51.06,2004,NA,582.982,y,no,NA,NA,NA,NA
sequence 268.39.00.14,2004,NA,580.455,y,no,NA,NA,NA,NA
sequence 27.02.17.24,2004,NA,420.844,y,no,NA,NA,NA,NA
sequence 28.02.24.17,2004,NA,573.629,y,no,NA,NA,NA,NA
sequence 280.39.31.00,2004,NA,702.502,y,no,NA,NA,NA,NA
sequence 285.39.52.08,2004,NA,556.072,y,no,NA,NA,NA,NA
sequence 287.39.59.18,2004,NA,637.008,y,no,NA,NA,NA,NA
sequence 292.40.25.09,2004,NA,503.686,y,no,NA,NA,NA,NA
sequence 297.40.56.10,2004,NA,624.914,y,no,NA,NA,NA,NA
